DRXFDCD,DRXFCSD,DRXFCLD
71100100.0,"b'POTATO, BAKED, NFS'","b'Potato, baked, NFS'"
71101000.0,"b'POTATO, BAKED, PEEL NOT EATEN'","b'Potato, baked, peel not eaten'"
71102980.0,"b'POTATO, BOILED, NFS'","b'Potato, boiled, NFS'"
71102990.0,"b'POTATO, BOILED, READY-TO-HEAT'","b'Potato, boiled, ready-to-heat'"
71103000.0,"b'POTATO, BOILED, FROM FRESH, PEEL NOT EATEN, NS AS TO FAT'","b'Potato, boiled, from fresh, peel not eaten, NS as to fat'"
71103010.0,"b'POTATO, BOILED, FROM FRESH, PEEL NOT EATEN, NO ADDED FAT'","b'Potato, boiled, from fresh, peel not eaten, no added fat'"
71103020.0,"b'POTATO, BOILED, FROM FRESH, PEEL NOT EATEN, FAT ADDED, NS AS'","b'Potato, boiled, from fresh, peel not eaten, fat added, NS as to fat type'"
71103030.0,"b'POTATO, BOILED, FROM FRESH, PEEL NOT EATEN, MADE WITH OIL'","b'Potato, boiled, from fresh, peel not eaten, made with oil'"
71103040.0,"b'POTATO, BOILED, FROM FRESH, PEEL NOT EATEN, MADE WITH BUTTER'","b'Potato, boiled, from fresh, peel not eaten, made with butter'"
71103050.0,"b'POTATO, BOILED, FROM FRESH, PEEL NOT EATEN, MADE WITH MARGAR'","b'Potato, boiled, from fresh, peel not eaten, made with margarine'"
71103105.0,"b'POTATO, BOILED, FROM FRESH, PEEL EATEN, NS AS TO FAT'","b'Potato, boiled, from fresh, peel eaten, NS as to fat'"
71103115.0,"b'POTATO, BOILED, FROM FRESH, PEEL EATEN, FAT ADDED, NS AS TO'","b'Potato, boiled, from fresh, peel eaten, fat added, NS as to fat type'"
71103125.0,"b'POTATO, BOILED, FROM FRESH,  PEEL EATEN, NO ADDED FAT'","b'Potato, boiled, from fresh,  peel eaten, no added fat'"
71103135.0,"b'POTATO, BOILED, FROM FRESH, PEEL EATEN, MADE WITH OIL'","b'Potato, boiled, from fresh, peel eaten, made with oil'"
71103140.0,"b'POTATO, BOILED, FROM FRESH, PEEL EATEN, MADE WITH BUTTER'","b'Potato, boiled, from fresh, peel eaten, made with butter'"
71103150.0,"b'POTATO, BOILED, FROM FRESH, PEEL EATEN, MADE WITH MARGARINE'","b'Potato, boiled, from fresh, peel eaten, made with margarine'"
71103300.0,"b'POTATO, CANNED, NS AS TO FAT'","b'Potato, canned, NS as to fat'"
71103310.0,"b'POTATO, CANNED, FAT ADDED, NS AS TO FAT TYPE'","b'Potato, canned, fat added, NS as to fat type'"
71103320.0,"b'POTATO, CANNED, NO ADDED FAT'","b'Potato, canned, no added fat'"
71104030.0,"b'POTATO, ROASTED, NFS'","b'Potato, roasted, NFS'"
71104040.0,"b'POTATO, ROASTED, FROM FRESH, PEEL EATEN, NS AS TO FAT'","b'Potato, roasted, from fresh, peel eaten, NS as to fat'"
71104050.0,"b'POTATO, ROASTED, FROM FRESH, PEEL EATEN, NO ADDED FAT'","b'Potato, roasted, from fresh, peel eaten, no added fat'"
71104060.0,"b'POTATO, ROASTED, FROM FRESH, PEEL EATEN, FAT ADDED, NS AS TO'","b'Potato, roasted, from fresh, peel eaten, fat added, NS as to fat type'"
71104070.0,"b'POTATO, ROASTED, FROM FRESH, PEEL EATEN, MADE WITH OIL'","b'Potato, roasted, from fresh, peel eaten, made with oil'"
71104080.0,"b'POTATO, ROASTED, FROM FRESH, PEEL EATEN, MADE WITH BUTTER'","b'Potato, roasted, from fresh, peel eaten, made with butter'"
71104090.0,"b'POTATO, ROASTED, FROM FRESH, PEEL EATEN, MADE WITH MARGARINE'","b'Potato, roasted, from fresh, peel eaten, made with margarine'"
71104100.0,"b'POTATO, ROASTED, FROM FRESH, PEEL NOT EATEN, NS AS TO FAT'","b'Potato, roasted, from fresh, peel not eaten, NS as to fat'"
71104110.0,"b'POTATO, ROASTED, FROM FRESH, PEEL NOT EATEN, FAT ADDED, NS A'","b'Potato, roasted, from fresh, peel not eaten, fat added, NS as to fat type'"
71104120.0,"b'POTATO, ROASTED, FROM FRESH, PEEL NOT EATEN, NO ADDED FAT'","b'Potato, roasted, from fresh, peel not eaten, no added fat'"
71104130.0,"b'POTATO, ROASTED, FROM FRESH, PEEL NOT EATEN, MADE WITH OIL'","b'Potato, roasted, from fresh, peel not eaten, made with oil'"
71104140.0,"b'POTATO, ROASTED, FROM FRESH, PEEL NOT EATEN, MADE WITH BUTTE'","b'Potato, roasted, from fresh, peel not eaten, made with butter'"
71104150.0,"b'POTATO, ROASTED, FROM FRESH, PEEL NOT EATEN, MADE WITH MARGA'","b'Potato, roasted, from fresh, peel not eaten, made with margarine'"
71104200.0,"b'POTATO, ROASTED, READY-TO-HEAT'","b'Potato, roasted, ready-to-heat'"
71106000.0,"b'STEWED POTATOES, PUERTO RICAN STYLE'","b'Stewed potatoes, Puerto Rican style'"
71106010.0,"b'POTATO ONLY FROM PUERTO RICAN MIXED DISHES, GRAVY AND OTHER'","b'Potato only from Puerto Rican mixed dishes, gravy and other components reported separately'"
71106020.0,"b'POTATO FROM PUERTO RICAN STYLE STUFFED POT ROAST, WITH GRAVY'","b'Potato from Puerto Rican style stuffed pot roast, with gravy'"
71106050.0,"b'POTATO FROM PUERTO RICAN BEEF STEW, WITH GRAVY'","b'Potato from Puerto Rican beef stew, with gravy'"
71106070.0,"b'POTATO FROM PUERTO RICAN CHICKEN FRICASSEE, WITH SAUCE'","b'Potato from Puerto Rican chicken fricassee, with sauce'"
71200010.0,"b'POTATO CHIPS, NFS'","b'Potato chips, NFS'"
71200100.0,"b'POTATO CHIPS, PLAIN'","b'Potato chips, plain'"
71200110.0,"b'POTATO CHIPS, BARBECUE FLAVORED'","b'Potato chips, barbecue flavored'"
71200120.0,"b'POTATO CHIPS, SOUR CREAM AND ONION FLAVORED'","b'Potato chips, sour cream and onion flavored'"
71200130.0,"b'POTATO CHIPS, CHEESE FLAVORED'","b'Potato chips, cheese flavored'"
71200140.0,"b'POTATO CHIPS, OTHER FLAVORED'","b'Potato chips, other flavored'"
71200200.0,"b'POTATO CHIPS, RUFFLED, PLAIN'","b'Potato chips, ruffled, plain'"
71200210.0,"b'POTATO CHIPS, RUFFLED, BARBECUE FLAVORED'","b'Potato chips, ruffled, barbecue flavored'"
71200220.0,"b'POTATO CHIPS, RUFFLED, SOUR CREAM AND ONION FLAVORED'","b'Potato chips, ruffled, sour cream and onion flavored'"
71200230.0,"b'POTATO CHIPS, RUFFLED, CHEESE FLAVORED'","b'Potato chips, ruffled, cheese flavored'"
71200240.0,"b'POTATO CHIPS, RUFFLED, OTHER FLAVORED'","b'Potato chips, ruffled, other flavored'"
71200300.0,"b'POTATO CHIPS, RESTRUCTURED, PLAIN'","b'Potato chips, restructured, plain'"
71200310.0,"b'POTATO CHIPS, RESTRUCTURED, FLAVORED'","b'Potato chips, restructured, flavored'"
71200400.0,"b'POTATO CHIPS, BAKED, PLAIN'","b'Potato chips, baked, plain'"
71200410.0,"b'POTATO CHIPS, BAKED, FLAVORED'","b'Potato chips, baked, flavored'"
71201050.0,"b'POTATO CHIPS, REDUCED FAT'","b'Potato chips, reduced fat'"
71201200.0,"b'POTATO CHIPS, RESTRUCTURED, REDUCED FAT, LIGHTLY SALTED'","b'Potato chips, restructured, reduced fat, lightly salted'"
71202000.0,"b'POTATO CHIPS, UNSALTED'","b'Potato chips, unsalted'"
71202500.0,"b'POTATO CHIPS, LIGHTLY SALTED'","b'Potato chips, lightly salted'"
71202510.0,"b'POTATO CHIPS, RESTRUCTURED, LIGHTLY SALTED'","b'Potato chips, restructured, lightly salted'"
71203010.0,"b'POTATO CHIPS, POPPED, PLAIN'","b'Potato chips, popped, plain'"
71203020.0,"b'POTATO CHIPS, POPPED, FLAVORED'","b'Potato chips, popped, flavored'"
71203030.0,"b'POTATO CHIPS, POPPED, NFS'","b'Potato chips, popped, NFS'"
71205020.0,"b'POTATO STICKS, PLAIN'","b'Potato sticks, plain'"
71205030.0,"b'POTATO STICKS, FLAVORED'","b'Potato sticks, flavored'"
71205040.0,"b'POTATO STICKS, FRY SHAPED'","b'Potato sticks, fry shaped'"
71220000.0,b'VEGETABLE CHIPS',b'Vegetable chips'
71305015.0,"b'POTATO, SCALLOPED, NFS'","b'Potato, scalloped, NFS'"
71305020.0,"b'POTATO, SCALLOPED, FROM FAST FOOD OR RESTAURANT'","b'Potato, scalloped, from fast food or restaurant'"
71305030.0,"b'POTATO, SCALLOPED, FROM FRESH'","b'Potato, scalloped, from fresh'"
71305040.0,"b'POTATO, SCALLOPED, FROM FRESH, WITH MEAT'","b'Potato, scalloped, from fresh, with meat'"
71305050.0,"b'POTATO, SCALLOPED, FROM DRY MIX'","b'Potato, scalloped, from dry mix'"
71305060.0,"b'POTATO, SCALLOPED, FROM DRY MIX, WITH MEAT'","b'Potato, scalloped, from dry mix, with meat'"
71305070.0,"b'POTATO, SCALLOPED, READY-TO-HEAT'","b'Potato, scalloped, ready-to-heat'"
71305080.0,"b'POTATO, SCALLOPED, READY-TO-HEAT, WITH MEAT'","b'Potato, scalloped, ready-to-heat, with meat'"
71400990.0,"b'POTATO, FRENCH FRIES, NFS'","b'Potato, french fries, NFS'"
71401000.0,"b'POTATO, FRENCH FRIES, NS AS TO FRESH OR FROZEN'","b'Potato, french fries, NS as to fresh or frozen'"
71401010.0,"b'POTATO, FRENCH FRIES, FROM FRESH, FRIED'","b'Potato, french fries, from fresh, fried'"
71401015.0,"b'POTATO, FRENCH FRIES, FROM FRESH, BAKED'","b'Potato, french fries, from fresh, baked'"
71401020.0,"b'POTATO, FRENCH FRIES, FROM FROZEN, BAKED'","b'Potato, french fries, from frozen, baked'"
71401030.0,"b'POTATO, FRENCH FRIES, FAST FOOD'","b'Potato, french fries, fast food'"
71401031.0,"b'POTATO, FRENCH FRIES, RESTAURANT'","b'Potato, french fries, restaurant'"
71401032.0,"b'POTATO, FRENCH FRIES, FROM FROZEN, FRIED'","b'Potato, french fries, from frozen, fried'"
71401033.0,"b'POTATO, FRENCH FRIES, SCHOOL'","b'Potato, french fries, school'"
71401039.0,"b'POTATO, FRENCH FRIES, WITH CHEESE, FAST FOOD / RESTAURANT'","b'Potato, french fries, with cheese, fast food / restaurant'"
71401041.0,"b'POTATO, FRENCH FRIES, WITH CHEESE, SCHOOL'","b'Potato, french fries, with cheese, school'"
71401045.0,"b'POTATO, FRENCH FRIES, WITH CHILI, FAST FOOD / RESTAURANT'","b'Potato, french fries, with chili, fast food / restaurant'"
71401050.0,"b'POTATO, FRENCH FRIES, WITH CHILI AND CHEESE, FAST FOOD / RES'","b'Potato, french fries, with chili and cheese, fast food / restaurant'"
71402500.0,"b'POTATO, FRENCH FRIES, WITH CHEESE'","b'Potato, french fries, with cheese'"
71402510.0,"b'POTATO, FRENCH FRIES, WITH CHILI AND CHEESE'","b'Potato, french fries, with chili and cheese'"
71402520.0,"b'POTATO, FRENCH FRIES, WITH CHILI'","b'Potato, french fries, with chili'"
71403020.0,"b'POTATO, HOME FRIES, NFS'","b'Potato, home fries, NFS'"
71403030.0,"b'POTATO, HOME FRIES, FROM RESTAURANT / FAST FOOD'","b'Potato, home fries, from restaurant / fast food'"
71403040.0,"b'POTATO, HOME FRIES, FROM FRESH'","b'Potato, home fries, from fresh'"
71403050.0,"b'POTATO, HOME FRIES, READY-TO-HEAT'","b'Potato, home fries, ready-to-heat'"
71403500.0,"b'POTATO, HOME FRIES, WITH VEGETABLES'","b'Potato, home fries, with vegetables'"
71404000.0,"b'POTATO, HASH BROWN, NFS'","b'Potato, hash brown, NFS'"
71404010.0,"b'POTATO, HASH BROWN, FROM FAST FOOD'","b'Potato, hash brown, from fast food'"
71404020.0,"b'POTATO, HASH BROWN, FROM FAST FOOD, WITH CHEESE'","b'Potato, hash brown, from fast food, with cheese'"
71404030.0,"b'POTATO, HASH BROWN, FROM RESTAURANT'","b'Potato, hash brown, from restaurant'"
71404040.0,"b'POTATO, HASH BROWN, FROM RESTAURANT, WITH CHEESE'","b'Potato, hash brown, from restaurant, with cheese'"
71404050.0,"b'POTATO, HASH BROWN, FROM SCHOOL LUNCH'","b'Potato, hash brown, from school lunch'"
71405010.0,"b'POTATO, HASH BROWN, FROM FRESH'","b'Potato, hash brown, from fresh'"
71405019.0,"b'POTATO, HASH BROWN, FROM FRESH, WITH CHEESE'","b'Potato, hash brown, from fresh, with cheese'"
71405030.0,"b'POTATO, HASH BROWN, FROM DRY MIX'","b'Potato, hash brown, from dry mix'"
71405040.0,"b'POTATO, HASH BROWN, READY-TO-HEAT'","b'Potato, hash brown, ready-to-heat'"
71405050.0,"b'POTATO, HASH BROWN, READY-TO-HEAT, WITH CHEESE'","b'Potato, hash brown, ready-to-heat, with cheese'"
71410000.0,b'POTATO SKINS WITHOUT TOPPING',b'Potato skins without topping'
71410500.0,"b'POTATO SKINS, WITH CHEESE'","b'Potato skins, with cheese'"
71411000.0,"b'POTATO SKINS, WITH CHEESE AND BACON'","b'Potato skins, with cheese and bacon'"
71411100.0,"b'POTATO SKINS, NFS'","b'Potato skins, NFS'"
71501000.0,"b'POTATO, MASHED, NFS'","b'Potato, mashed, NFS'"
71501005.0,"b'POTATO, MASHED, FROM FAST FOOD'","b'Potato, mashed, from fast food'"
71501006.0,"b'POTATO, MASHED, FROM FAST FOOD, WITH GRAVY'","b'Potato, mashed, from fast food, with gravy'"
71501007.0,"b'POTATO, MASHED, READY-TO-HEAT'","b'Potato, mashed, ready-to-heat'"
71501010.0,"b'POTATO, MASHED, FROM FRESH, MADE WITH MILK'","b'Potato, mashed, from fresh, made with milk'"
71501011.0,"b'POTATO, MASHED, FROM FRESH, MADE WITH MILK, WITH CHEESE'","b'Potato, mashed, from fresh, made with milk, with cheese'"
71501012.0,"b'POTATO, MASHED, FROM FRESH, MADE WITH MILK, WITH GRAVY'","b'Potato, mashed, from fresh, made with milk, with gravy'"
71501013.0,"b'POTATO, MASHED, FROM FRESH, NFS'","b'Potato, mashed, from fresh, NFS'"
71501016.0,"b'POTATO, MASHED, FROM RESTAURANT'","b'Potato, mashed, from restaurant'"
71501017.0,"b'POTATO, MASHED, FROM RESTAURANT, WITH GRAVY'","b'Potato, mashed, from restaurant, with gravy'"
71501018.0,"b'POTATO, MASHED, FROM SCHOOL LUNCH'","b'Potato, mashed, from school lunch'"
71501035.0,"b'POTATO, MASHED, FROM DRY MIX, NFS'","b'Potato, mashed, from dry mix, NFS'"
71501040.0,"b'POTATO, MASHED, FROM DRY MIX, MADE WITH MILK'","b'Potato, mashed, from dry mix, made with milk'"
71501045.0,"b'POTATO, MASHED, FROM DRY MIX, MADE WITH MILK, WITH CHEESE'","b'Potato, mashed, from dry mix, made with milk, with cheese'"
71501054.0,"b'POTATO, MASHED, FROM DRY MIX, MADE WITH MILK, WITH GRAVY'","b'Potato, mashed, from dry mix, made with milk, with gravy'"
71501061.0,"b'POTATO, MASHED, READY-TO-HEAT, NFS'","b'Potato, mashed, ready-to-heat, NFS'"
71501071.0,"b'POTATO, MASHED, READY-TO-HEAT, WITH CHEESE'","b'Potato, mashed, ready-to-heat, with cheese'"
71501075.0,"b'POTATO, MASHED, READY-TO-HEAT, WITH GRAVY'","b'Potato, mashed, ready-to-heat, with gravy'"
71503010.0,b'POTATO PATTY',b'Potato patty'
71505000.0,"b'POTATO TOTS, NFS'","b'Potato tots, NFS'"
71505010.0,"b'POTATO TOTS, FAST FOOD / RESTAURANT'","b'Potato tots, fast food / restaurant'"
71505020.0,"b'POTATO TOTS, SCHOOL'","b'Potato tots, school'"
71505030.0,"b'POTATO TOTS, FROM FRESH, FRIED OR BAKED'","b'Potato tots, from fresh, fried or baked'"
71505040.0,"b'POTATO TOTS, FROZEN, BAKED'","b'Potato tots, frozen, baked'"
71505050.0,"b'POTATO TOTS, FROZEN, FRIED'","b'Potato tots, frozen, fried'"
71505060.0,"b'POTATO TOTS, FROZEN, NS AS TO FRIED OR BAKED'","b'Potato tots, frozen, NS as to fried or baked'"
71507005.0,"b'POTATO, BAKED, PEEL NOT EATEN, WITH BUTTER'","b'Potato, baked, peel not eaten, with butter'"
71507010.0,"b'POTATO, BAKED, PEEL NOT EATEN, WITH SOUR CREAM'","b'Potato, baked, peel not eaten, with sour cream'"
71507020.0,"b'POTATO, BAKED, PEEL NOT EATEN, WITH CHEESE'","b'Potato, baked, peel not eaten, with cheese'"
71507025.0,"b'POTATO, BAKED, PEEL NOT EATEN, WITH MEAT'","b'Potato, baked, peel not eaten, with meat'"
71507030.0,"b'POTATO, BAKED, PEEL NOT EATEN, WITH CHILI'","b'Potato, baked, peel not eaten, with chili'"
71507035.0,"b'POTATO, BAKED, PEEL NOT EATEN, WITH VEGETABLES'","b'Potato, baked, peel not eaten, with vegetables'"
71508001.0,"b'POTATO, BAKED, PEEL EATEN'","b'Potato, baked, peel eaten'"
71508005.0,"b'POTATO, BAKED, PEEL EATEN, WITH BUTTER'","b'Potato, baked, peel eaten, with butter'"
71508010.0,"b'POTATO, BAKED, PEEL EATEN, WITH SOUR CREAM'","b'Potato, baked, peel eaten, with sour cream'"
71508020.0,"b'POTATO, BAKED, PEEL EATEN, WITH CHEESE'","b'Potato, baked, peel eaten, with cheese'"
71508025.0,"b'POTATO, BAKED, PEEL EATEN, WITH MEAT'","b'Potato, baked, peel eaten, with meat'"
71508030.0,"b'POTATO, BAKED, PEEL EATEN, WITH CHILI'","b'Potato, baked, peel eaten, with chili'"
71508035.0,"b'POTATO, BAKED, PEEL EATEN, WITH VEGETABLES'","b'Potato, baked, peel eaten, with vegetables'"
71600950.0,"b'POTATO SALAD WITH EGG, FROM RESTAURANT'","b'Potato salad with egg, from restaurant'"
71601010.0,"b'POTATO SALAD WITH EGG, MADE WITH MAYONNAISE'","b'Potato salad with egg, made with mayonnaise'"
71601015.0,"b'POTATO SALAD WITH EGG, MADE WITH LIGHT MAYONNAISE'","b'Potato salad with egg, made with light mayonnaise'"
71601020.0,"b'POTATO SALAD WITH EGG, MADE WITH MAYONNAISE-TYPE SALAD DRESS'","b'Potato salad with egg, made with mayonnaise-type salad dressing'"
71601025.0,"b'POTATO SALAD WITH EGG, MADE WITH LIGHT MAYONNAISE-TYPE SALAD'","b'Potato salad with egg, made with light mayonnaise-type salad dressing'"
71601030.0,"b'POTATO SALAD WITH EGG, MADE WITH CREAMY DRESSING'","b'Potato salad with egg, made with creamy dressing'"
71601035.0,"b'POTATO SALAD WITH EGG, MADE WITH LIGHT CREAMY DRESSING'","b'Potato salad with egg, made with light creamy dressing'"
71601040.0,"b'POTATO SALAD WITH EGG, MADE WITH ITALIAN DRESSING'","b'Potato salad with egg, made with Italian dressing'"
71601045.0,"b'POTATO SALAD WITH EGG, MADE WITH LIGHT ITALIAN DRESSING'","b'Potato salad with egg, made with light Italian dressing'"
71601050.0,"b'POTATO SALAD WITH EGG, MADE WITH ANY TYPE OF FAT FREE DRESSI'","b'Potato salad with egg, made with any type of fat free dressing'"
71602010.0,"b'POTATO SALAD, GERMAN STYLE'","b'Potato salad, German style'"
71602950.0,"b'POTATO SALAD, FROM RESTAURANT'","b'Potato salad, from restaurant'"
71603010.0,"b'POTATO SALAD, MADE WITH MAYONNAISE'","b'Potato salad, made with mayonnaise'"
71603015.0,"b'POTATO SALAD, MADE WITH LIGHT MAYONNAISE'","b'Potato salad, made with light mayonnaise'"
71603020.0,"b'POTATO SALAD, MADE WITH MAYONNAISE-TYPE SALAD DRESSING'","b'Potato salad, made with mayonnaise-type salad dressing'"
71603025.0,"b'POTATO SALAD, MADE WITH LIGHT MAYONNAISE-TYPE SALAD DRESSING'","b'Potato salad, made with light mayonnaise-type salad dressing'"
71603030.0,"b'POTATO SALAD, MADE WITH CREAMY DRESSING'","b'Potato salad, made with creamy dressing'"
71603035.0,"b'POTATO SALAD, MADE WITH LIGHT CREAMY DRESSING'","b'Potato salad, made with light creamy dressing'"
71603040.0,"b'POTATO SALAD, MADE WITH ITALIAN DRESSING'","b'Potato salad, made with Italian dressing'"
71603045.0,"b'POTATO SALAD, MADE WITH LIGHT ITALIAN DRESSING'","b'Potato salad, made with light Italian dressing'"
71603050.0,"b'POTATO SALAD, MADE WITH ANY TYPE OF FAT FREE DRESSING'","b'Potato salad, made with any type of fat free dressing'"
71701000.0,b'POTATO PANCAKE',b'Potato pancake'
71701500.0,b'LEFSE',b'Lefse'
71703990.0,b'STEWED POTATOES',b'Stewed potatoes'
71704000.0,b'STEWED POTATOES WITH TOMATOES',b'Stewed potatoes with tomatoes'
71801000.0,"b'SOUP, POTATO'","b'Soup, potato'"
71801005.0,"b'SOUP, POTATO WITH MEAT'","b'Soup, potato with meat'"
71900100.0,"b'PLANTAIN, COOKED, NO ADDED FAT'","b'Plantain, cooked, no added fat'"
71900200.0,"b'PLANTAIN, COOKED WITH OIL'","b'Plantain, cooked with oil'"
71905000.0,"b'PLANTAIN, RAW'","b'Plantain, raw'"
71905008.0,"b'PLANTAIN, COOKED, FAT ADDED, NS AS TO FAT TYPE'","b'Plantain, cooked, fat added, NS as to fat type'"
71905100.0,"b'PLANTAIN, COOKED WITH BUTTER OR MARGARINE'","b'Plantain, cooked with butter or margarine'"
71905410.0,b'PLANTAIN CHIPS',b'Plantain chips'
71930120.0,"b'CASSAVA, COOKED'","b'Cassava, cooked'"
71930190.0,b'YUCA FRIES',b'Yuca fries'
71930200.0,"b'CASABE, CASSAVA BREAD'","b'Casabe, cassava bread'"
71962040.0,"b'TARO, COOKED'","b'Taro, cooked'"
71970200.0,b'FUFU',b'Fufu'
71980200.0,b'TARO CHIPS',b'Taro chips'
72101100.0,"b'BEET GREENS, RAW'","b'Beet greens, raw'"
72101220.0,"b'BEET GREENS, COOKED'","b'Beet greens, cooked'"
72103000.0,"b'BROCCOLI RAAB, RAW'","b'Broccoli raab, raw'"
72103030.0,"b'BROCCOLI RAAB, COOKED'","b'Broccoli raab, cooked'"
72104100.0,"b'CHARD, RAW'","b'Chard, raw'"
72104220.0,"b'CHARD, COOKED'","b'Chard, cooked'"
72107100.0,"b'COLLARDS, RAW'","b'Collards, raw'"
72107211.0,"b'COLLARDS, FRESH, COOKED, NO ADDED FAT'","b'Collards, fresh, cooked, no added fat'"
72107212.0,"b'COLLARDS, FROZEN, COOKED, NO ADDED FAT'","b'Collards, frozen, cooked, no added fat'"
72107220.0,"b'COLLARDS, NS AS TO FORM, COOKED'","b'Collards, NS as to form, cooked'"
72107221.0,"b'COLLARDS, FRESH, COOKED, FAT ADDED, NS AS TO FAT TYPE'","b'Collards, fresh, cooked, fat added, NS as to fat type'"
72107222.0,"b'COLLARDS, FROZEN, COOKED, FAT ADDED, NS AS TO FAT TYPE'","b'Collards, frozen, cooked, fat added, NS as to fat type'"
72107227.0,"b'COLLARDS, FRESH, COOKED WITH OIL'","b'Collards, fresh, cooked with oil'"
72107228.0,"b'COLLARDS, FRESH, COOKED WITH BUTTER OR MARGARINE'","b'Collards, fresh, cooked with butter or margarine'"
72107230.0,"b'COLLARDS, FROZEN, COOKED WITH OIL'","b'Collards, frozen, cooked with oil'"
72107231.0,"b'COLLARDS, FROZEN, COOKED WITH BUTTER OR MARGARINE'","b'Collards, frozen, cooked with butter or margarine'"
72110100.0,"b'CRESS, RAW'","b'Cress, raw'"
72110221.0,"b'CRESS, COOKED'","b'Cress, cooked'"
72113100.0,"b'DANDELION GREENS, RAW'","b'Dandelion greens, raw'"
72113220.0,"b'DANDELION GREENS, COOKED'","b'Dandelion greens, cooked'"
72116000.0,"b'ROMAINE LETTUCE, RAW'","b'Romaine lettuce, raw'"
72116150.0,"b'CAESAR SALAD, WITH ROMAINE, NO DRESSING'","b'Caesar salad, with romaine, no dressing'"
72116220.0,"b'ESCAROLE, COOKED'","b'Escarole, cooked'"
72118211.0,"b'GREENS, FRESH, COOKED, NO ADDED FAT'","b'Greens, fresh, cooked, no added fat'"
72118212.0,"b'GREENS, FROZEN, COOKED, NO ADDED FAT'","b'Greens, frozen, cooked, no added fat'"
72118220.0,"b'GREENS, NS AS TO FORM, COOKED'","b'Greens, NS as to form, cooked'"
72118221.0,"b'GREENS, FRESH, COOKED, FAT ADDED'","b'Greens, fresh, cooked, fat added'"
72118222.0,"b'GREENS, FROZEN, COOKED, FAT ADDED'","b'Greens, frozen, cooked, fat added'"
72118223.0,"b'GREENS, CANNED, COOKED'","b'Greens, canned, cooked'"
72119190.0,"b'KALE, RAW'","b'Kale, raw'"
72119211.0,"b'KALE, FRESH, COOKED, NO ADDED FAT'","b'Kale, fresh, cooked, no added fat'"
72119212.0,"b'KALE, FROZEN, COOKED, NO ADDED FAT'","b'Kale, frozen, cooked, no added fat'"
72119220.0,"b'KALE, NS AS TO FORM, COOKED'","b'Kale, NS as to form, cooked'"
72119221.0,"b'KALE, FRESH, COOKED, FAT ADDED'","b'Kale, fresh, cooked, fat added'"
72119222.0,"b'KALE, FROZEN, COOKED, FAT ADDED'","b'Kale, frozen, cooked, fat added'"
72120220.0,"b'LAMBSQUARTER, COOKED'","b'Lambsquarter, cooked'"
72122100.0,"b'MUSTARD GREENS, RAW'","b'Mustard greens, raw'"
72122211.0,"b'MUSTARD GREENS, FRESH, COOKED, NO ADDED FAT'","b'Mustard greens, fresh, cooked, no added fat'"
72122212.0,"b'MUSTARD GREENS, FROZEN, COOKED, NO ADDED FAT'","b'Mustard greens, frozen, cooked, no added fat'"
72122220.0,"b'MUSTARD GREENS, NS AS TO FORM, COOKED'","b'Mustard greens, NS as to form, cooked'"
72122221.0,"b'MUSTARD GREENS, FRESH, COOKED, FAT ADDED'","b'Mustard greens, fresh, cooked, fat added'"
72122222.0,"b'MUSTARD GREENS, FROZEN, COOKED, FAT ADDED'","b'Mustard greens, frozen, cooked, fat added'"
72123020.0,"b'POKE GREENS, COOKED'","b'Poke greens, cooked'"
72124100.0,"b'RADICCHIO, RAW'","b'Radicchio, raw'"
72125100.0,"b'SPINACH, RAW'","b'Spinach, raw'"
72125211.0,"b'SPINACH, FRESH, COOKED, NO ADDED FAT'","b'Spinach, fresh, cooked, no added fat'"
72125212.0,"b'SPINACH, FROZEN, COOKED, NO ADDED FAT'","b'Spinach, frozen, cooked, no added fat'"
72125213.0,"b'SPINACH, CANNED, COOKED, NO ADDED FAT'","b'Spinach, canned, cooked, no added fat'"
72125217.0,"b'SPINACH, FRESH, COOKED WITH OIL'","b'Spinach, fresh, cooked with oil'"
72125218.0,"b'SPINACH, FRESH, COOKED WITH BUTTER OR MARGARINE'","b'Spinach, fresh, cooked with butter or margarine'"
72125220.0,"b'SPINACH, NS AS TO FORM, COOKED'","b'Spinach, NS as to form, cooked'"
72125221.0,"b'SPINACH, FRESH, COOKED, FAT ADDED, NS AS TO FAT TYPE'","b'Spinach, fresh, cooked, fat added, NS as to fat type'"
